名称,功效,主治,组成原文,用法用量,方解,要点,加减化裁,注意事项,临床应用,其他信息
二甲复脉汤,育阴潜阴,温病热邪深入下焦，脉象沉数，舌干齿黑，手指微微蠕动，有发痉厥之势，或痉厥己作者,炙甘草18克，干地黄18克，生白芍18克，麦冬15克，阿胶9克(烊化服)，火麻仁9克，生牡蛎15克，生鳖甲24克。加减复脉汤加生牡蛎5钱，生鳖甲8钱。,上药用水800毫升，煮取640毫升，分三次服。,方中炙甘草资助胃气；地黄、白芍、麦冬、阿胶滋养阴液；生牡蛎、生鳖甲介类潜阳。诸药合用，有育阴潜阳之功。对于热伤阴液，阴虚不能潜阳，肝风内动者，用之可以防止痉厥的发生，即使痉厥己作者，亦可应用。,,,,虚劳：陈某，十九岁，脉虚数，头目眩冒，暮有微热，饮食少减，面似桃花，身如柳叶，与二甲复脉法。熟地六钱，生鳖甲八钱，白芍（生）六钱，麦冬（不去心）五钱，生牡蛎五钱，麻仁二钱，阿胶三钱，炙甘草六钱。煮三杯，分三次服。服二十帖，红退晕止，食进，后用专翕大生膏四斤收功。,温病七八日以后，热深不解，口中津液干涸，但觉手指掣动，即当防其痉厥，故以复脉育阴，加入介属潜阳，使阴阳交纽，庶厥不可作也。
一甲复脉汤,养阴润燥，滋阴清热，滋阴固摄,下焦温病，热邪伤阴，但大便溏者和温病后期，阴液亏虚证。症见面赤身热，手足心热，口舌干燥，神疲乏力，大便溏泄，舌质鲜红，脉虚大。临床常用于内科杂病、温热病后期阴液亏虚证、甲状腺功能亢进致心悸不宁、夜不能寐等,牡蛎30克（碾细），炙甘草18克 ，干地黄18克， 生白芍18克， 麦冬15克（不去心），阿胶9克。,上药以水800毫升，煮取300毫升，分二次服。,本方加减复脉汤去麻仁加牡蛎而成。温病热邪入于下焦而劫肾阴，此时治当滋阴清热，方为正法。但滋阴之品大多性润而滑肠，此时又见大便溏，故去麻仁而不用，更加牡蛎以收敛固涩，是复阴之中，预防泄阴之弊。,,,,临床常用于内科杂病、温热病后期阴液亏虚证、甲状腺功能亢进致心悸不宁、夜不能寐等。,《瘟病条辨》：“一甲复脉汤方即于加减复脉汤内，去麻仁，抽牡蛎一两。下焦温病，但大便溏者，即与一甲复脉汤。”
助仙丹,健脾益肾，滋补精血。,脾肾两虚所致的闭经，月经数月一行，量多或量少，色淡，质稀，倦怠乏力，气短神疲，纳呆便溏；或头晕耳鸣，腰膝酸楚；或夜间尿频，苔薄白，舌质淡，脉沉缓或沉弱。,白茯苓五钱（15g），陈皮五钱（15g），白术三钱（9g），土炒白芍三钱（9g），酒炒山药三钱（9g），炒菟丝子二钱（6g），酒炒杜仲一钱（3g），炒黑甘草（3g）。,水煎服。,方中白术、山药、甘草补脾土以资化源，菟丝子、白芍、杜仲益肾而无滋腻之弊，茯苓、陈皮理气化痰。诸药共奏健脾益肾，解郁清痰，生精益血之功。此方平补之中，实有妙理。健脾益肾而不滞，解郁清痰而不泄，不损天然之气血，便是调经之大法，何得用他药以冀通经哉!,盖无病之人，气血两不亏损耳。而嗜欲损夭之人.亦复甚多。生理性的月经数月一行，气血两不亏损，病理性的月经数月一潮，病因病机为精血劳损不能充盈血海。临床上月经稀发、月经量少、闭经等辨证属精血劳损不能充盈血海，可用本方以健脾益肾调经，本方健脾益肾而不滞，解郁清痰而不泄，不损天然之气血。,肝气郁滞者，加柴胡、酒香附舒肝理气；脾虚纳差者，加鸡内金、谷麦芽健运助化以资经源；小腹疼痛拒按者，加益母草、乌药活血化瘀以调经。,,①闭经、月经减少女，23岁。服用避孕药2年，停药后2个月未来月经，症见面色皖白，头晕腰痛，纳呆便溏，脉弦细，舌淡，边有齿痕，苔薄。因恐惧打针要求服用药物治疗，给予妇科调经片口服1周未见效果，再次复诊辨证为脾肾不足，气血两虚给予茯苓15g，陈皮15g，炒白术10g，酒炒白芍10g，炒山药10g，酒炒菟丝子6g.焦杜仲3g，甘草3g，3剂河水煎服。服用1剂第2天来月经。随访2个月月经正常，未再复发。[李芬.应用助仙丹治疗闭经的体会.中外妇儿健康，2011.19(8)：298]。②女36岁，初诊：生育2胎，经水一向偏迟，在40~50日之间。近2年来，月经常2月或3月始潮，且经量渐少。伴见头晕腰困，纳少便溏，全身无力。视其面色萎黄，舌质淡，苔薄白。脉象：左尺沉细无力，右关虚滑。证属脾肾亏虚，化源不足。治宜健脾益肾，滋补精血。方用助仙丹加味：土白术15克，炒山药20克，云茯苓10克，陈皮3克，炮扁豆10克，鸡内金6克，酒菟丝子15克，炒白芍12克，当归12克，杜仲9克，甘草3克。水煎服，3剂。二诊：前方服后纳增便调，精神振作，头晕腰困均见好转。经水2月余未潮，前方续服5剂，以候经血来潮。三诊：经血3月来潮，经量较前增多，察舌质淡苔白.脉象沉细，治以养血益精。方用四物汤加味：当归15克，川芎6克，炒白芍15克，熟地30克，枸杞子12克，阿胶9克(烊化服)，炒山药12克，土白术15克，水煎服，3剂。经行6日而净，经后仍以助仙丹加味调治，服药20余剂，经血40余日来潮，后服脾肾二助丸，经血终由数月一行而转月余一潮。,"中医大宝调经总结：（点↓名称可以查看详细方剂）
清经散：清热凉血，滋肾养阴；主治月经先期、量多。
两地汤：滋阴清热，凉血调经；主治月经先期、量少。
助仙丹：证见经水数月一行，腰痠腿软，食差，头晕神疲等。
益经汤：滋防养血，疏肝解郁；心、肝、脾经气郁，未老经水断、月经过少。
定经汤：妇人经来断续，或前或后无定期。
温经汤：漏下不止淋漓不畅，血色暗而有块，或月经超前或延后或逾期不止或一月再行或经停不至..
温经摄血汤：主治妇女经水后期，经来量多者。"
益经汤,滋防养血，疏肝解郁。,治妇女心、肝、脾经气郁，年未七七，经水先断者。闭经，症见月经量渐少，周期不定而至停闭，伴见腰膝酸软，头晕耳鸣，失眠健忘，心悸怔忡，或少腹胀满，食少便溏，心烦易怒，舌质淡，苔薄白，脉沉弱或沉弦。,大熟地30克（九蒸），白术30克（土炒），山药15克（炒），当归15克（酒洗），白芍9克（酒炒），生枣仁9克（捣碎），丹皮6克， 沙参9克， 柴胡3克 ，杜仲3克（炒黑），人参6克。,水煎服。,此方中用当归、枣仁以补心宁心，白芍以柔肝敛阴，白术、山药健脾益肾以养冲任，熟地、杜仲滋肾以壮肾中之水，人参以补气，沙参以滋阴，丹皮以泄火，柴胡以散心、肝、脾三经之郁，诸药合方，即为大补心、肝、脾之气，散心、肝、脾之郁，滋补肾水之剂。,,偏于肾阴虚者，加龟板、鳖甲滋阴通经；偏于肾阳虚者，酌加巴戟、肉桂温阳通经；大便燥者，加肉苁蓉补而润之；脉弦不利者，加沉香、香附理气通经。,,"①女40岁，1979年5月5日初诊：生育3胎，经血一向淋漓不断，而近4个月仍未行经，经妇科检查绝非妊娠，考虑为闭经，前来中医妇科门诊治疗。视其面色萎黄，精神不振，两目乏神，精血亏于内也。询知心慌失眠，头晕眼黑，腰背劳困，纳差倦怠。察舌淬白，苔薄白，脉诊：两手脉沉细无力。辨证属肝、脾、心经精血亏损而气郁，肾精不充而血海空虚。治宜大补精血，益气解郁，方用益经汤加味。熟地30克，焦白术30克，当归20克(酒洗)，酒白芍15克，川芎6克，鸡内金9克，柴胡3克，炒山药20克，党参30克，沙参15克，杜仲9克，枸杞15克，元肉6克，生枣仁9克，丹皮6克，山萸15克，鳖甲10克，甘草3克。水煎服10剂。同年5月20日二诊：药后月经仍闭不行，但精神转佳，寐食好转，头晕眼黑痊愈，诸症均减轻，脉象也较前充实，精血虽有恢复，但血海仍不充，前方再进10剂。同年6月20日三诊：服药20剂，面色转红润，诸症若消，宛如常人，其言，如身体能健康无病，月经闭止也无所谓。余意将上方5剂研末做蜜丸以巩固疗效，丸药尚未做成而月经来潮，量不多，3日而净。询余丸药是否仍用?余谓服之无妨。此后经血来潮，至48岁而归经。
②女，4岁1979年4月4日初诊：月经一向偏迟，婚后十余年不孕。近年来月经偏迟日多，有时2月余始潮。半年来月讯杳然无期，初尚以为妊娠，后经各种检查确属经闭，送来诊治。其人面黄不华，腰酸神懒，畏寒尿频，性生活淡漠，脉象沉细无力，舌质淡，苔薄白。证属肝、脾、肾虚亏，癸源不足，命门火衰。治拟补肝、脾、肾精血，佐以温阳之品，益经汤加减。熟地30克，炒山药20克，山萸20克，枸杞15克，鹿角霜9克，当归15克，酒白芍15克，党参15克，焦白术30克，杜仲6克，柴胡3克，砂仁3克，生枣仁6克，紫河车9克。水煎服10剂。同年4月17日二诊：药后经血来潮，经行4日而净，神疲畏寒减轻，性欲感也增强，嘱其将上方再服20剂，一以调经，二以治疗不孕。同年4月30日三诊：经水通调3月而不偏后，今月经2月未潮，疑经闭又犯，诊其脉象，少阴(肾)动甚，神疲泛恶，经妊娠试验2次均为阳性，此妊娠之象也。",《傅青主女科》卷上
理中汤,温中祛寒，补气健脾。,治脾胃虚寒证，自利不渴，呕吐腹痛，腹满不食及中寒霍乱，阳虚失血，如吐血、便血或崩漏，胸痞虚证，胸痛彻背，倦怠少气，四肢不温。现用于急、慢性胃炎，胃窦炎、溃疡病、胃下垂、慢性肝炎等属脾胃虚寒者。,人参6克(可用党参代替)，干姜9克，炙甘草6克，白术12克。,水煎服，也可炼蜜为丸，名理中丸。上作一服，水二钟，煎至一钟，不拘时服。每三钱，以水一盏半，煎取中盏，去滓，稍热服，空心、食前。每服3钱匕，水1盏，加生姜2片，大枣2个（擘破），煎至7分，去滓温服，不拘时候。每服3钱，陈米、盐、乌梅煎，空心服。,本方是治疗脾胃虚寒的常用方剂。方中以干姜温运中焦，祛散寒邪，恢复脾阳，为主药；辅以人参补气健脾，振奋脾胃功能；佐以白术健脾燥湿；使以炙甘草调和诸药而兼补脾和中，合用具有温中祛寒，补益脾胃的作用。,本方具有温中散寒，补益脾胃的作用，是一温补的方剂，适用于中焦虚寒所致之各种病证。以脉象沉细或迟缓，舌淡苔白滑，溲清便溏，畏寒肢冷为辩证要点。,,忌海藻、松菜、桃、李、雀肉。,"①太阴虚寒：初病伤寒，六七日，腹满而吐，食不下。身温，手足热，自利，腹中痛，呕，恶心手足自温”也。说明本证还未发展至少阴阳衰阴盛之四肢厥冷
②泄泻：病者腹泻已逾一年,经常肠鸣，大便稀塘，日下八九次,食欲欠佳，完谷不化，曾经数十医诊治而不效。予诊时，患者面色苍白无华,精神疲乏腹部稍胀而喜按.舌苔浮有一层黄色厚腻物 ,脉细迟。
③胃痛便秘：俞长荣医案:近日胃脘作痛,绵绵不休,口中干燥,大便三日未通。脉象沉涩,舌白而干。
④冷痢：腹痛里急，下痢赤白，每日三四次。小便清利，形寒肢冷。脉象细弱，舌苔薄白。
⑤便血：胃肠虚弱，经常下痢，愈而复发。近十余天来，腹鸣隐痛，按之痛减，泄泻日二三次,粪稀带血，呈暗红色;食欲不振,四肢乏力,观其面色淡黄，精疲懒言,舌淡苔薄白，按其脉细涩。
⑥喜唾涎沫：急性胃肠炎后喜唾涎沫。凡吃生冷油腻食物则胃脘隐痛不适,时伴作呕、反胃、嗳气,喜唾涎沫。
⑦月经过多（阴道出血不能控制）：面色苍白，畏寒肢冷，头冒虚汗，手脚抖擞，唇舌谈白.脉沉缓无力。此属冲任虚寒，脾不统血，即拟固本止崩汤加碱3剂(即理中汤干姜易炮姜,加黄芪、当归，益母草）
⑧黄疸：面目黄染半月，精神不佳，胃纳少，大便溏，小便略黄，舌质淡紫苔薄腻,脉小涩。党参、炒白术各10克,干姜5克,丹参30克,绵茵陈15克。《医学纲目》云，“内伤黄痘,因劳役伤形,饮食失节,中州变寒,病生黄。中焦虚寒，血络淤阻
⑨心悸(冠心病)：心悸，气促，伴呕吐5年,近5月来因受凉后复发心悸，气促，神瘦乏力，纳差，呕吐较剧,大便稀.1日2次，小便正常.查舌淡、苔薄白，脉沉细脾阳不足而致心阳不振，理中汤加桂枝。
⑩痦瘸(荨麻疹)：昨日起腹胀满,轻微阵痛。全身起疙瘩块，此伏彼起,搔痒无度.夜难成眠。口苦燥,饥时腹反胀甚。精神萎靡,食欲不振,喜热饮。素健,无食物及药物过敏史。党参15克,白术、黄芩各10克,干姜5克,甘草9克.2剂。
(11)口疮：张思良口舌常破，如无皮状，或咽喉作痛，服凉药愈痛，以理中汤令伊常服而不发。
(12)妊娠胃胀：妊娠胃胀，不思饮食，口渴，下利，面少精采，医以消导寒凉与之，病转甚而胎不安，予曰，此得于饮食后服凉水所致耳，投以大剂理中汤，数剂而愈。","明.方贤着《奇效良方》:理中汤
《宋.太平惠民和剂局方》:理中汤
《圣济总录》卷一八七:理中汤
《普济方》卷三五五:理中汤
理中汤（理中丸）"
麻黄附子甘草汤,温补阳气，解表散邪。,主治少阴病，恶寒身疼，无汗，微发热，脉沉微者。本方可用于治疗西医临床中的心动过缓、心肌缺血、风湿性心脏病等。只要符合其主治病变证机，也可加减运用，辅助治疗如坐骨神经痛、神经性头痛等。,麻黄去节，二两（6g），甘草炙，二两（6g），附子炮，去皮，破八片，一枚（5g）。,上三味，以水七升，先煮麻黄一两沸，去上沫，内诸药，煮取三升，去滓。温服一升，日三服。,麻黄、附子一散一补，固本通阳，则病去而不伤阳气。风寒乘机侵袭营卫，营卫受邪，正邪斗争，则发热；卫气固护不及，则恶风寒；腠理因寒凝而闭塞，则无汗；心阳虚弱而不能温煦，则心悸；阳虚而寒气浸淫于胸，则胸满；阳虚而不能温暖于下，则腰酸腿软；阳虚气化不及，则小便清长；舌淡，苔薄白，脉沉，均为阳虚阴寒之征。其治当温补阳气，解表散邪。方中麻黄发汗解表，温阳散寒，行水散水；附子温煦阳气，温化水气；甘草益气和阳，辛甘化阳补阳。,太阳伤寒证与阳气不足证相兼，发热，恶风寒，无汗，或心悸，或胸满，或腰酸腿软，或小便清长，舌淡，苔薄白，脉沉。,若心悸者，加人参、茯苓，以益气止悸；若头痛者，加桂枝、白芷，以通经散寒止痛；若心烦不安，加龙骨、牡蛎，以重镇安神。,太阳中风证与阳虚证相兼者慎用本方。,女65岁，10年前因心悸、胸闷、气短而做心电图检查，脉搏52次／分钟，诊断为心动过缓。近因心悸、胸闷加重而前来诊治。刻诊：胸中畏寒，心悸，气短，乏力，胸闷，口不渴，舌淡，苔薄白，脉迟弱。辨为心阳虚弱证。方用麻黄附子甘草汤加味：麻黄6g，炙甘草6g，附子5g，龙骨12g，牡蛎12g，红参10g。6剂，1日1剂，水煎2次，合并，分3次服。二诊：胸中畏寒好转，心悸减轻，又以前方30余剂治疗，诸证悉除，脉搏65次／分钟。随访2年，一切尚好。诊治提示：根据胸中畏寒辨为阳虚，又因心悸、胸闷、脉迟弱辨为心阳虚。以此选用麻黄附子甘草汤温补心阳，加龙骨、牡蛎重镇安神，红参益心气、安心神。方药相互为用，以温阳益气安神。,张仲景设麻黄附子甘草汤是主治表里兼证，但在临床中合理运用本方则能主治阳虚证。如用麻黄附子甘草汤主治心动过缓属心阳虚证，方中甘草用量要大于麻黄，或加益气助阳药，则能使麻黄发散通阳而不损伤阳气。
桃红四物汤,活血化瘀，调经止痛。,血虚兼血瘀证，症见妇女经期超前，闭经，痛经，经前腹痛，经行不畅而有血块，色紫暗；血瘀引起的月经过多、淋漓不净，产后恶露不净、腹痛，舌淡紫，苔白，脉沉迟或弦细比较涩嘴。现代临床用极其广泛，已经远远超出妇科的应用范围，在内、外、儿、眼、耳鼻喉科均有大量运用，临床报道较多。该方可用于治疗冠心病心绞痛、慢性肾小球肾炎、偏头痛、癫痫、糖尿病周围神经病变、功能性子宫出血、痛经、女性更年期综合征、血栓闭塞性脉管炎、小儿血小板减少性紫癜、荨麻疹、眼底出血等。,熟地15克、当归15克、 白芍10克、 川芎8克、 桃仁9克、红花6克。,水煎服。,桃红四物汤以祛瘀为核心，辅以养血、行气。方中以强劲的破血之品桃仁、红花为主，力主活血化瘀；以甘温之熟地、当归滋阴补肝、养血调经;芍药养血和营，以增补血之力；川芎活血行气、调畅气血，以助活血之功。全方配伍得当，使瘀血祛、新血生、气机畅，化瘀生新是该方的显著特点。,,根据不同的病症和体质，可以适当加减药物。例如，治疗慢性萎缩性胃炎、脑梗塞、偏头痛、糖尿病末梢神经炎、面神经麻痹、红斑性皮肤病、皮肤瘙痒症、皮肤色素沉着、软组织损伤、人工全髓关节置换术后、痛经、外伤性前房出血、眼出血症、过敏性鼻炎、慢性肾功能衰竭等病症时，均有不同的加味或加减。,,①慢性萎缩性胃炎：治疗52例，总有效率100%。②脑梗塞：治疗32例，总有效率93.8%。③偏头痛：治疗63例，总有效率92.1%。④糖尿病末梢神经炎：治疗28例，总有效率96.4%。⑤面神经麻痹：治疗20例，总有效率95%。⑥红斑性皮肤病：治疗64例，总有效率100%。⑦皮肤瘙痒症：治疗92例，总有效率93.5%。⑧皮肤色素沉着：治疗30例，总有效率100%。⑨软组织损伤：治疗500例，总有效率99.8%。⑩人工全髓关节置换术后：治疗40例，无严重并发症。⑪痛经：治疗60例，总有效率86.7%；治疗40例，总有效率95%。⑫外伤性前房出血：治疗84例，总有效率96%。⑬眼出血症：治疗42例，总有效率75%以上。⑭过敏性鼻炎：治疗42例，总有效率95.2%。⑮慢性肾功能衰竭：治疗60例，总有效率83.33%。,"《医垒元戎》,"
桂枝加附子汤,扶阳固表，调和营卫。,主治伤寒表阳虚弱，恶风发热，汗漏不止，四肢微急，难以屈伸，小便难，舌质淡，苔薄白，脉浮虚，临床主要用于治疗盗汗、慢性鼻炎、疼痛、室性早搏及更年期综合征等病症。临床报道尚见于治疗漏汗、自汗、遗尿、鼻衄、头痛、性功能减退、低热、不寐、瘾疹等病症。,桂枝、芍药、甘草、生姜各三两(各9克)，大枣十二枚(3枚)，附子一枚(9克)。,水煎服。,本方为桂枝汤加炮附子1枚，并加重甘草用量而成。桂枝汤调和营卫，解肌祛风，附子温经复阳，固表止汗。俾邪去阳回，则津液自复，诸症自愈。,临床应用以恶风发热、汗漏不止、四肢微急、脉虚浮为辨证要点。,寒疝疼痛，加川乌、草乌；胸痹心痛，加薤白、瓜蒌；风寒湿痹，寒甚痛剧，加川乌；上肢痛甚，加羌活、蒲黄、川芎；下肢痛甚，加独活、牛膝、防己；腰背疼痛，加杜仲、桑寄生、续断。,,"①盗汗(个案)：患者证系心阳不足，卫气虚弱一以本方加枣仁、五味子治疗。3剂后复诊，盗汗显减，再进3剂原方，盗汗止，心悸除，食欲增进：瞩其按上方为丸，连服2周以巩固疗效。半年后随访，盗汗一直未发。(《中医药学报》1990年第1期)
②慢性鼻炎：以本方合玉屏风散治疗慢性鼻炎120例。中药治疗前4日停用西医抗组胺药和鼻喷雾剂。1个疗程为15日，治疗2个疗程：与盐酸羟甲唑啉鼻喷雾剂联合鼻甲封闭治疗120例对照。1个疗程为5次。显效标准：单纯性鼻炎：鼻腔通畅，分泌物消失，鼻黏膜恢复正常；肥厚性鼻炎：鼻塞消失，鼻甲明显缩小。结果：显效67例，有效45例，无效8例，总有效率93.33%。(《陕西中医》2013年第2期)
③更年期综合征：以本方加减治疗52例，与更年安片治疗42例对照。疗效评定以症状(月经失调、烘热、汗出，可伴烦躁易怒、心悸失眠、胸闷头疼、记忆力衰退、血压波动、腰腿酸痛等)完全消失，停止治疗3个月未见复发则为治愈。结果：治愈5例，显效23例，有效21例，无效3例，总有效率94.23%。(《中国中医药信息杂志》2007年第4期)
④室性早搏(个案)：本方加味治疗：患者证属阳虚自汗。予以本方。三诊，患者自觉冷汗止，身体轻松，自行再服原方4剂，心悸消失。心电图示：窦性心律，正常心电图。(《新中医》2002年第5期)
⑤室性早搏(个案)：本方加味治疗：患者证属阳虚自汗。予以本方。三诊，患者自觉冷汗止，身体轻松，自行再服原方4剂，心悸消失。心电图示：窦性心律，正常心电图。(《新中医》2002年第5期)",方歌：桂加附子治有三，风寒肢痛脉迟弦，汗漏不止恶风甚，肌肤麻木卫阳寒。
导痰汤、苍附导痰丸、苍附导痰汤（苍附导痰丸）,燥湿祛痰，行气开郁；形盛多痰，气虚，至数月而经始行；形肥痰盛经闭；肥人气虚生痰多下白带；燥湿化痰，理气调冲。,主一切痰厥，头目眩晕，或痰饮壅盛，胸膈痞塞，胁肋胀满，头痛吐逆，喘急痰嗽，涕唾稠黏，坐卧不安，不思饮食等，苔腻，脉滑；用于痰湿内阻型不孕症。肥盛女人无子者。多囊、形盛多痰，气虚，至数月而经始行；形肥痰盛经闭；肥人气虚生痰多下白带。,半夏(汤洗七次)四两(120克)，去皮炮天南星、橘红、麸炒去瓤枳实、去皮赤茯苓各一两(30克)，炙甘草半两(15克)；苍术2两，香附2两，枳壳2两，陈皮1两5钱，茯苓1两5钱，胆星1两，甘草1两；苍术（制）2两，香附（童便浸）2两，陈皮（去白）1两半，南星（炮，另制）1两，枳壳（麸炒）1两，半夏1两，川芎1两，滑石（飞）4两，白茯1两半，神曲（炒）1两；苍术9克，制南星9克，石楠叶9克，香附10克，杜仲10克，仙灵脾10克，陈皮6克，茯苓15克，制半夏12克。,上药㕮咀，每服四钱(12克)，水二盏，生姜十片，煎至八分，去滓，温服，食后；上为末姜汁和神曲为丸。也可研成粗粉末自制袋泡茶混均，装入30个小包中，每天取1-2包用沸水冲泡，当茶喝；上为末，姜汁浸蒸饼为丸，如梧桐子大。淡姜汤送下；将上药水煎取汁。,本方为燥湿化痰基础方二陈汤加胆星、枳实，涤痰之力尤胜。方中南星燥湿化痰，祛风散结；枳实下气行痰；半夏燥湿祛痰；橘红下气消痰药加强豁痰顺气之力；茯苓渗湿，甘草和中。全方共奏燥湿化痰，行气开郁之功，气顺则痰自下降，晕厥可除，痞胀得消；方中苍术、白术、茯苓燥湿健脾；香附、乌药、陈皮理气行滞；胆南星化痰；川芎、丹参、红花、月季花、益母草活血调经。全方共奏化痰除湿、行气活血之效。,,大便溏薄者，加炮姜炭9克、焦米仁10克；经闭者，加红花、莪术各9克，赤芍12克。,,"临床主要用于治疗脑卒中、卒中后抑郁症、心绞痛、慢性胃炎等病症；也见于治疗颈椎病、椎基底动脉供血不足、非酒精性脂肪肝、高脂血症、慢性精神分裂症、肥胖型糖耐量异常、不孕症、复发性多软骨炎、帕金森病等属痰浊壅盛证者；苍附导痰汤联合中医保健治疗多囊卵巢综合征伴有胰岛素抵抗30例；苍附导痰汤治疗多囊卵巢综合征不孕不育案例：女29岁婚后6年未孕,配偶正常。月经自17岁初潮开规律周期长,3~6个月甚至更长时间来潮1次，量少、色暗红、夹小血块、3天净。西医用“促排卵药、人工周期'治疗,停药后月经仍稀少。后做“双侧卵巢楔形切除”。术后月经仍不规律,未孕。诊断:不孕症(多囊卵巢综合征)。辨证:痰阻血瘀。此为素体肥胖,躯脂满溢,脂膜壅滞冲任,有碍血海满溢,并遮隔子宫，不能摄精成孕,故见经少推后、不孕、肥白、多毛、情绪忧郁、胸闷乳胀、口内咸腻等痰阻血瘀之证。治法:化痰除湿,行气活血。方用苍附导痰汤加减。处方:苍术9克,香附12克,胆南星12克,茯苓12克,陈皮9克，川芎9克,丹参12克,乌药9克,炒白术12克,红花12克,月季花12克,益母草15克。水煎服,日1剂,连服3月。二诊(9月18日):服药后经来1次,色稍转红,胸闷减,余症如前。上方去红花,加仙茅12克,淫羊藿12克,日1剂,连服3月。三诊(12月30日):经来1次,量稍多,带下减少,舌脉如前。上方加巴载天12克,续服半年。四诊(1986年6月28日):月经2~3月1次,经色转红,量增加,用纸大半包,乳胀减。嘱上方不变,续服。五诊(10月5日):来诊,已怀孕2月余。",导痰汤、苍附导痰汤（苍附导痰丸）
麻桂各半汤,疏风散寒，调和营卫。,急慢性荨麻疹、咳嗽，大喘气，过敏性鼻炎，颈椎病，寻常型银屑病，尿毒症，风寒伴腹痛型荨麻疹，痱子，瘾疹、皮肤瘙痒症、痒疹等证属风寒者。证见：怕冷，腹痛，全身有紧束感，口不干，无汗，发热，脉浮紧，舌苔白。皮损可表现为全身性的丘疹、风团，疹色淡红或苍白，或有抓痕、血痂等。,"麻黄4.5克,桂枝6克,白芍9克,杏仁9克,生姜3片,红枣5枚,甘草6克.","水煎2~3次，分2~3次服下,1日1剂. 生姜为引，水煎服。 水煎服。",表邪轻证，治宜小发其汗。麻黄宣肺解表；桂枝温阳解表；杏仁宣肺化痰；白芍养血敛阴止痛；.生姜、红枣、甘草健脾胃，调和营卫；诸药合用，共奏辛温解表，调和营卫之效。,身痒是由营卫滞，通调营卫庶能康。,大便秘结者，可加生大黄、枳壳。有肠道寄生虫者，可加乌梅肉、槟榔、使君子。瘙痒甚者，可加蝉蜕、防风、刺蒺藜。伴表虚者，可加黄芪。兼湿痹者，可加姜黄、细辛、威灵仙。,,"①女35岁，荨麻疹3年，每至冬天或天冷受凉即发作，天气转暖后不治自愈，曾多处求医，用过中、西药，久治无效。刻诊：皮疹成团，分布全身，色淡红，在冬季或接触冷水时易发作，在温暖环境下可消失，平时怕冷，少汗，诊脉浮稍紧，舌淡苔薄白。诊断：寒冷型荨麻疹。中医辨证：风寒犯表，营卫不调。治宜疏风散寒，调和营卫。用麻黄桂枝各半汤。麻黄10g，桂枝12g，杏仁12g，白芍12g，炙甘草10g，生姜10g，大枣5枚，荆芥15g，防风15g，蝉蜕15g，羌活12g，独活12g，白鲜皮30g，地肤子15g，徐长卿15g，浮萍草30g。3剂，水煎服。上药服后，全身遍出微汗，皮疹全消。后用桂枝汤合玉屏风散善后。临床痊愈，随访至今，愈后未发。按：本案患者荨麻疹每至冬天或天冷受凉即发作，天气转暖后不治自愈，反复发作长达3年，久治无效。诊见皮疹色淡红，平时怕冷，少汗，诊脉浮紧，辨证为风寒犯表，营卫不调。《伤寒论》23条说：“......以其不得小汗出，身必痒，宜桂枝麻黄各半汤。”用麻桂各半汤，一汗而表解、疹消，身痒得除，经方之效不得不令人信服也。②倪海厦讲麻桂各半汤：经常发烧（怕冷有怕热），中午睡觉起床浑身关节酸痛有发冷。麻黄两钱，杏仁两钱，桂枝三钱，白芍三钱，炙甘草五钱，生姜三片，大枣十二枚，有便秘加少量大黄一钱半。六碗水煮成两碗水，因为是发汗，用大火煮。说明：生姜,红枣,炙甘草加重可以补充津液.津液少麻黄需要量需小，桂枝用一点。桂枝白芍等量可以加速动静脉血管加速循环，就会出汗风寒即除。麻黄杏仁等量发散肺热。如有便秘加少量大黄。",《会约》卷四：麻桂各半汤。《中医皮肤病学简编》：麻桂各半汤。
