id,name,effect,usage_text,explanation,key_points,modifications,precautions,other_info
1947,清经散,清热凉血,水煎服,清经散中牡丹皮凉血清热，泻血分伏火；地骨皮、黄柏泻肾火；青蒿清阴分之热；熟地黄凉血养阴而滋肾水；白芍益阴敛肝；茯苓行水泄热，又可宁心。本方以清热泻火药为主，抑阳以配阴，少佐滋阴药，使火泻而液不伤，用于火热而水有余之实热证，火热泻后血海得以安宁则经自调。临床应用以经行先期、月经过多、色红或有块、舌质红、脉细数为辨证要点。若经来腹痛，加制香附、台乌药；经来量多，加生熟蒲黄、茜草根；热甚，加知母。,中医临床运用以经行先期，月经过多，色红或有块，舌质红，脉细弱为其汤证之要点,如见经行量多有块，加生炒蒲黄、茜草；经行腹痛，加香附、乌药；血热甚，加炒地榆、炒槐花、知母等,气血虚弱，不能摄血所致的月经先期、月经过多等不宜,"清经散和两地汤区别：
清经散和两地汤可用于月经先期，或阴虚血热性崩漏、产后恶露不绝、产后盗汗、经行发热；或月经量过多、经间期出血及黄体功能不全等疾病，也可以拓展应用到精液量少、精液不化症等男科疾病。本病相当于黄体功能不全等疾病出现的月经先期。
清经散：清热凉血，滋肾养阴；主治月经先期、量多。
两地汤：滋阴清热，凉血调经；主治月经先期、量少。
中医大宝调经总结：（点↓名称可以查看详细方剂）
清经散：清热凉血，滋肾养阴；主治月经先期、量多。
两地汤：滋阴清热，凉血调经；主治月经先期、量少。
助仙丹：证见经水数月一行，腰痠腿软，食差，头晕神疲等。
益经汤：滋防养血，疏肝解郁；心、肝、脾经气郁，未老经水断、月经过少。
定经汤：妇人经来断续，或前或后无定期。
温经汤：漏下不止淋漓不畅，血色暗而有块，或月经超前或延后或逾期不止或一月再行或经停不至..
温经摄血汤：主治妇女经水后期，经来量多者。
清经散 https://www.901020.com/fangji/1947.html
您好访客,请登陆发表！
名 称
QQ号码
地 址
中医交流可加微信入群：hbxt998"
1949,玉液汤,益气养阴，生津止渴。治消渴。,水煎服。,本证因气阴不足所致，故用黄芪益气，葛根升阳生津，山药、知母、天花粉滋阴清热，鸡内金健运脾胃，五味子酸敛生津。张锡纯云：“方中以黄芪为主，得葛根能升元气。而又佐以山药、知母、花粉以大滋真阴。使之阳升而阴应，自有云行雨施之妙也。用鸡内金者，……用之以助脾胃强健，…为津液也。用五味者，取其酸收之性，大能封固肾关，不使水饮急于下趋也。”,以口渴尿多，困倦气短，脉虚细无力为辩证要点。,"气虚较甚，体倦、气少懒言者，加人参或西洋参以补气生津；
热邪较甚，口渴较甚，且饮不解渴、心烦者，加竹叶、石膏等；
肾虚较甚，腰膝酸软、小便频数者，加熟地黄、山萸肉等。
小便频数者，加山茱萸以固肾缩尿。",,本方有益气补脾生津润燥功，用于消渴，相当于今之糖尿病。方中以黄芪、山药为主药，必须重用方有效，本方对糖尿病并发症有效，并可用于胰岛素抵抗的治疗，是一首治疗糖尿病及其并发症的名方。本方尚可用于治疗甲状腺功能亢进症、慢性咽炎、口眼于燥和关节炎综合征等。脾肾同治，标本兼顾，且升发与封藏并行，共奏益气生津，固肾止渴之效。
1956,赤小豆当归散,清热利湿，和营解毒。,上二味，杵为散。浆水调服2克，每日三服。,本方用赤小豆渗湿清热，解毒排脓，当归活血，去瘀生新，浆水清凉解毒。共奏清热利湿，活血解毒之功。狐惑病乃伤寒余毒与湿热为患。脉数主疮热，眦黑为热瘀肉腐，能食则毒已化脓。本方用赤小豆渗湿清热，解毒排脓；当归活血，去瘀生新；又用米浆和胃气，共奏清热利湿，活血解毒之功。方中赤小豆甘酸而平，清热解毒，利水消肿，渗湿排脓，为君药。当归甘辛而温，补血活血，使瘀血得去，新血得生，为臣药。二药配伍，则水湿从下而去，热毒自内而清。以浆水服，因其解热疗烦，入血分，为方中佐使。,以腹痛便脓血，或大便下血，而伴有肌表热不甚、微烦欲卧、汗出、目四眦黑、能进食、脉数为其辨证要点。,若热毒甚者，加黄芩、黄柏泻火解毒；若下血较重，加地榆、槐花凉血止血；若湿热壅滞较甚，加薏苡仁、冬瓜仁清热利湿。,寒湿便血证者禁用。,眼眦赤黑变多般，小豆生芽曝令干，豆取三升归十分，杵调浆水日三餐。
1958,柴胡桂枝汤,和解少阳，调和营卫。,上九味，以水七升，煮取三升，去滓，温服一升。,本方为少阳、太阳表里双解之轻剂，取小柴胡汤、桂枝汤各半量，合剂制成。桂枝汤调和营卫，解肌辛散，以治太阳之表，小柴胡汤和解少阳，宣展枢机，以治半表半里。方用柴胡透泄少阳之邪从外而散，疏泄气机之郁滞，黄芩助柴胡以清少阳邪热，柴胡升散，得黄芩降泄，则无升阳劫阴之弊；半夏、生姜降逆和胃，人参、大枣扶助正气，俾正气旺盛，则邪无内向之机，可以直从外解。,《伤寒论》第146条：伤寒六七日，发热，微恶寒，支节烦疼，微呕，心下支结，外证未去者，柴胡桂枝汤主之。柴胡桂枝汤治少阳兼太阳表证。症见伤寒六七日，发热，微恶寒，肢节烦疼，微呕，心下支结。,如胸中烦而不呕，去半夏、人参、加栝楼根；腹中痛，去黄芩，加芍药；胁下痞硬，去大枣，加牡蛎；心下悸、小便不利，去黄芩，加茯苓；不渴，外有微热，去人参，加肉桂；咳者，去人参、大枣、生姜、加五味子、干姜；妇人热入血室、热伤阴血，加生地、丹皮；瘀血内结，少腹满痛，去人参、甘草、大枣，加延胡索、归尾、桃仁；兼寒者，加肉桂；气滞者，加香附，郁金。,外感病邪在表或已入里，一般不宜用本方，如需应用，则应酌情加减，疟疾需要本方时，宜加抗疟药同用。,"方歌：小柴原方取半煎，桂枝汤入复方全。阳中太少相因病，偏重柴胡做仔肩。
方剂附注：柴胡加桂汤（《三因》卷四）、柴胡加桂枝汤（《医学纲目》卷三十）、桂枝柴胡各半汤（《痎疟论疏》）。"
1987,身痛逐瘀汤,活血祛瘀，祛风除湿，通痹止痛。,水煎服。,《医林改错注释》：方中秦艽、羌活祛风除湿，桃仁、红花、当归、川芎活血祛瘀，没药、灵脂、香附行血气，止疼痛，牛膝、地龙疏通经络以利关节，甘草调和诸药。《医林改错·痹症有瘀血说》日：“凡肩痛、臂痛、腰疼、腿疼，或周身疼痛，总名日痹症……古方颇多，如古方治之不效，用身痛逐瘀汤。”,以肢体或周身痹痛、日久不愈、舌质紫暗或有瘀斑为辨证要点，是治疗周身经络血脉被瘀血阻闭的有效方。,① 若无周身痹痛，可去秦艽、羌活。②若兼有风湿者，宜加独活、狗脊，以祛风胜湿，而狗脊配方中牛膝，更能强壮腰膝;③若兼肾虚，宜加杜仲、续断、熟地黄以补肾壮筋骨;④若有明显的体位不正，用力不当的闪扭病史，则加乳香以配方中没药，可增强行气活血止痛之功，再加青皮以配方中香附，更可加强行气之力。⑤若微热，加苍术、黄柏。若虚弱，加黄芪一二两。,,王清任认为“风寒湿三气杂至，合而为痹”者，日久多显血瘀。从而制本方熔活血化瘀与祛风除湿于一炉。方中以桃仁、红花、当归、川芎活血祛瘀，意在使血行风自灭、血行湿也行；没药、灵脂、香附则理气化瘀止痛；牛膝、地龙活血通经络而利关节；另用秦艽、羌活祛风除湿，甘草和药。全方以活血化瘀为主，兼用祛风除湿之药，体现了王氏“痹症有瘀血”学术思想特点。(陈士奎《活血化瘀名家王清任》)。
1999,保元汤,补气温阳。,生姜一片，水煎温服。《景岳全书》加糯米一撮，无姜。,本方原治痘疮顶陷，血虚浆清，不能灌浆，属气弱阳虚之证。现用于虚损劳惧，元气不足者。其病机属元气不足。痘疮之毒，自内而出，气血充足，则成形浆满，痘疮发足而消。今因阳虚气亏，气血不足，故见痘疮顶陷，血虚浆清，不能灌浆；人身元气禀受于先天，本藏于肾，而赖后天水谷精微与吸人之气的荣养而滋生，若元气不足，则见虚损劳怯之象。治宜补气和中。今以此方温补元气，气溢体壮，虚损自愈。,本方以少气怯寒、倦怠乏力、脉细软为辨证要点。,如见肾阳虚，加附子、补骨脂、肉苁蓉；阴虚，去肉桂，加麦冬、生地、玄参；水肿，加猪苓、泽泻、车前子；腹胀，加砂仁、木香；呕吐痰多，加陈皮、半夏；中焦虚寒，加荜茇、干姜。,,临床可用党参代替人参，亦见用于治疗再生障碍性贫血、白细胞减少症、慢性肝炎、慢性肾衰竭、心律失常、冠心病心绞痛、帕金森病体位性低血压、慢性阻塞性肺疾病、慢性肾炎、小儿尿道综合征等疾病的报道。实验研究显示保元汤具有较好的提高免疫功能、促进造血干细胞增殖等功效。
2006,益气聪明汤,益气升阳，聪耳明目。,上药哎咀。每服9克，用水300毫升，煎至150毫升，去滓热服。临卧近五更再煎服之。,本方黄芪、人参、甘草重用以益气补中，升麻、葛根、蔓荆子用量递减以升清举陷，并少佐芍药、黄柏以敛阴、降火。凡属中焦气虚、升清无力所致头面耳目诸疾皆可辨证用之，使中气得升，耳目聪明。《东垣试效方》指出：如烦闷或有热，渐加黄柏，春夏加之，盛暑夏月倍之。若此一味多，则不效，如脾胃虚去之，有热者少用之。,,如烦闷或有热，渐加黄柏，春、夏加之，盛暑夏月倍之，如脾胃虚去之。,忌烟火酸物。,
2008,黛蛤散,清肝泻肺，化痰止咳,①古代用法：用淡齑水，滴麻油数点调服。②现代用法：以上二味，粉碎成细粉，过筛，混匀，即得。一日1次，一次6g，布包水煎服，或温水调服，或随处方入煎剂。,本方所治乃肝经郁火，上逆犯肺，炼液为痰所致。肝经布胁肋，上注于肺，若肝火过旺，气火上行则犯肺。肝主疏泄，调畅精神情志，火郁肝经，疏泄太过，情志失常，则心烦易怒；气火上逆，则眩晕耳鸣；肝火犯肺，津液被灼，则咳嗽咯痰，甚则热伤肺络则痰中带血。至于咳痰日久，面鼻发红，病本不在肺，而为肝火犯肺所致。,临床应用以咳痰带血，烦躁易怒，舌红，脉数为用方要点。,"若痰少难咯，舌红少苔，加沙参、麦冬以清肺养阴；
若咳血量较多，加侧柏叶、白茅根以凉血止血；
若咳嗽痰多，加杏仁、贝母、胆星以清肺化痰；
若见大便秘结，加瓜萎仁以润肠通便。",脾虚便溏及肺肾阴虚者慎用；寒证忌服。,
2010,猪苓汤,利水清热养阴,水煎服,本方以利水为主，兼以养阴清热，是治疗水热内结伤阴证的代表方剂。方中以猪苓、茯苓渗湿利水，滑石、泽泻通利小便，泄热于下，两者相配，分消水气，疏泄热邪，使水热不致互结；更佐以阿胶滋阴，滋养内亏之阴液。诸药合用，利水而不伤阴，滋阴而不恋邪，使水气去，邪热清，阴液复而诸症自除。五药合方，利水渗湿为主，清热养阴为辅，体现了利水而不伤阴、滋阴而不碍湿的配伍特点。水湿去，邪热清，阴津复，诸症自除。,,治热淋，可加栀子、车前子，以清热利水通淋；治血淋、尿血，可加白茅根、大蓟、小蓟以凉血止血。,若内热盛，阴津大亏者忌服、汗出多而渴者忌用。,临床报道也见于治疗急。慢性肾炎、肾积水、肾结石、乳糜尿、膀胱过度活动症、膀胱炎、前列腺炎、尿道炎、糖尿病肾病、变态反应性口炎、小儿急性腹泻、小儿轮状病毒性肠炎等证属水热互结伤阴者。实验研究表明，猪苓汤对泌尿系统具有利尿、抗菌、改善肾脏局部炎症、改善肾功能、抑制肾结石形成等药理作用。本方可用于热淋、血淋、尿血之属于水热互结而兼阴虚者
2015,三才封髓丹,泻火坚阴，固精封髓。,将上述药物粉碎后，用米糊制成丸剂，每日服用3次，每次服用10克。亦可作水煎剂。,方中人参补脾益气；天门冬滋阴补肺生水；熟地黄补肾滋阴；黄柏坚阴泻火；砂仁行滞醒脾；甘草既助人参宁心益气，又缓黄柏苦燥之弊。将熟地黄改为生地黄，滋阴降火，补肾水真阴；人参改为南沙参，养阴清肺。临床报道本方亦可用于虚火牙痛、慢性咽炎、急性喉炎属虚火上炎者。三才封髓丹的天、地、仁加强了上、中、下三焦的滋补之功。三焦并治，从下焦肾入手以治本，更符合老年人病机。,,,,实验应用小鼠灌胃给予不同剂量三才封髓丹口服液(每毫升相当于原生药量1.14克)连续12天，于第7天时行小鼠腹腔注射环磷酰胺，并分别于第10天和第12天观察Hb、Ret(网织红细胞)、WBC及BMC(骨髓细胞)。结果表明三才封髓丹口服液对小鼠的Hb、Ret、BMC的下降有预防作用(P<0.01)，而对WBC的下降无明显影响(P>0.05)。
2026,增液承气汤,滋阴增液，泄热通便。,水八杯，煮取二杯，先服一杯，不知，再服。,本方即增液汤加硝、黄而成。方中玄参、麦门冬、生地黄三者合用滋阴润肠通便，加大黄、芒硝泻热软坚，攻下腑实。全方增水行舟，泄热通便。临床还应用本方灌肠治疗，对中风患者降低颅内压、减轻脑水肿及改善消化道症状收效满意。用于治疗喘证，可增液益津、承气清热、化痰降气，符合六腑“以通为用”“脏邪以腑为出路”的原则。,以燥屎不行，下之不通，口干唇燥，苔黄，热结阴亏便秘证，脉细数为证治要点；其临床表现多见∶身热，大便秘结，腹满痛、口干唇裂、甚至齿体舌苔焦燥，脉沉细。,主要用于温病后期，津液损伤后，又内有积滞的病证，也可用于痔疮日久，大便燥结不通，属热结阴亏者。偏于阴亏者，应重用玄参、麦冬、生地；偏于积滞者，则重用大黄、芒硝。,热结津亏、燥屎不行，属虚实夹杂之证，使用攻下应当审慎；《温病条辨》：阳明温病，如属津液枯竭，水不足以行舟而燥结不下者，间服增液汤以滋阴增液，若再不下，是燥结太甚，宜予增液承气汤缓缓服之，且在得下后，停服余药，避免攻伐太过。,增液汤和增液承气汤均是吴氏治疗温病阴亏，无水行舟不大便的方剂，旨在增水行舟。温病条辨指出，阳明温病，大便不通，若属津液枯竭，水不足以行舟而燥结不下者，可间服增液汤以增其津液，若再不下，是燥结太甚，宜予增液承气汤缓缓服之，故增液汤是滋润为主，为津液大伤，燥结不甚者设；增液承气汤是润下合方，为津液大伤燥结已甚者设。缓急有别；临证必须斟酌。
2028,半夏秫米汤,化痰和胃，安神。,上二味，以流水600毫升，煮取360毫升，每次服180毫升，每日2次分服。,半夏秫米汤由半夏、秫米二药组成，药味简单而意旨深厚。半夏性温味甘能通阳，降逆而通泄卫气，李时珍《本草纲目》言半夏能除“目不得瞑”，现代药理研究也表明，法半夏有良好的镇静神经中枢的作用；秫米性味甘凉能养营，益阴而通利大肠，李时珍说：“秫，治阳盛阴虚，夜不得眠，半夏汤(即半夏秫米汤)中用之，取其益阴气而利大肠也，大肠利则阳不盛矣。,临床症状即以失眠为主症，轻者每晚能睡2、3小时，重者数日彻夜不眠，昼日神倦体乏，头晕纳减，甚至神志恍惚。具备上症，即可应用此法此方；伴有其它见症时，则可根据中医辨证适当分型论治。半夏、秫米合用，而助以甘澜水，使本方有通有补、有升有降，共成补虚泄实、沟通阴阳、和利营卫之功。所谓“通其道而去其邪”，则“其卧立至”。故凡失眠病证，皆可以此方为基本方治疗。,如心脾两虚加党参、炒白术，痰热扰心加黄连、淡竹茹，食滞胃脘加陈皮、六神曲等。,血证慎用。,"①方中半夏（生半夏有毒性，制半夏无此神效）的用量较大，一般常可用至40克（否则无效）；故此方必须在医师指导下运用。
②秫米，《类经》注为“糯小米也”、“北人呼为小黄米”，今医多遵吴鞠通意，代之以薏苡仁。
③煎法：需久煎慢煎，熟透后用滤布过滤取液服用。若不慎中毒，备生姜可解。"
